162,MTV,Brand New From Dublin,8:00,Hit List UK From Dublin,0,7,http://52.142.166.37:14162/,,Brand new music interviews and the latest news with your host Zane Lowe,,
163,M2,,12:00,,0,7,http://52.142.166.37:14163/,,,,
164,VH1,,12:00,,0,7,http://52.142.166.37:14164/,,,,
165,The Box,,12:00,,0,7,http://52.142.166.37:14165/,,,,
166,UK Play,Hey DJ,7:30,The Sound Of Play,0,7,http://52.142.166.37:14166/,,The best dance videos mixed by UK Play's new resident DJ,,
167,QVC,,12:00,,0,7,http://52.142.166.37:14167/,,,,
168,Shop!,Entertainment Shop!,7:30,Sports Shop!,0,7,http://52.142.166.37:14168/,,,,
169,TV Travel Shop,,12:00,,0,7,http://52.142.166.37:14169/,,,,
170,Sky Information,,12:00,,0,8,http://52.142.166.37:14170/,,,,
171,TelevisionX,,12:00,,0,7,http://52.142.166.37:14171/,,,,
172,After Midnight,,12:00,,0,7,http://52.142.166.37:14172/,,,,
173,Sky Retail Information,,12:00,,0,8,http://52.142.166.37:14173/,,,,
174,Sky Guide Information,,12:00,,0,8,http://52.142.166.37:14174/,,,,
175,Sky Information,,12:00,,0,8,http://52.142.166.37:14175/,,,,
